连同刚才那一碗，他一共吃了三碗。	他连同刚才那一碗一共吃了三碗。
我吃饭吃了八百块钱。	我吃饭花了八百块钱。
没关系，多双筷子罢了。	没关系，多双筷子而已！
我的老天爷呀！	我的天！
小王被领导批评的时候，他还在笑呢。	领导批评小王的时候，他还在笑。
回家过年太麻烦了，何况我还没在广州过过春节。	首先回家过年太麻烦了，更重要的是我还没在广州过过春节。
通货膨胀是一种货币现象，过量的货币追逐有限的商品。	通货膨胀是一种货币现象，也就是过量的货币追逐有限的商品。
你要好好休息啊。	你一定要休息好啊！
他一口饭没吃。	他没吃一口饭。
停车难的问题我们一定会想办法解决。	我们一定会想办法解决停车难的问题。
你走你的阳关道，我走我的独木桥。	你走你的阳关道，我过我的独木桥。
园子周围是一人高的木栅栏。	园子周围有一人高的木栅栏。
这些东西可能被雨弄湿了。	雨可能把这些东西弄湿了。
八个人一组。	一组八个人。
这台电脑修了我五百块钱。	修这台电脑花了我五百块钱。
小王被领导批评了。	领导把小王批评了。
缺不了你的钱花。	你有多缺钱花。
不成也值。	即便不成也值。
对手被我们打败。	我们把对手打败。
打一次球累好几天。	玩一次球累好几天。
杯子被打破了。	杯子被打碎了。
他付了我们100块钱。	我们被付了100块钱。
过一天乐呵一天。	开开心心过每一天。
这是我看书的桌子。	我看书的桌子是这张。
她没学英语。	她英语没学。
文化活动可以导致人们的行为趋同，就是说，人们的心里状态在文化的作用下呈现出一致性。	文化活动可以导致人们的行为趋同，换句话说，在文化的作用下人们的心里状态呈现出一致性。
兄弟两个谁也不服谁。	兄弟两个彼此都不服气。
大家别客气啊！	大家不要客气！
没关系，多双筷子罢了。	没啥，多双筷子而已。
哪儿他都去过。	他哪儿都去过。
我们班一半人住在三楼。	我们班里有一半人住在三楼。
一张小嘴，别提多会说话了。	这张嘴太会说话了。
他朝大山的方向走去。	他走去朝大山的方向。
他刚才是在这儿来着。	他刚才在这里。
毕业后，要么读研，要么出国留学。	毕业后，不出国留学，就读研。
丽丽哭红了眼睛。	丽丽把眼睛哭红了。
看个仔细。	仔细看看。
下班了，都。	已经下班了。
她都去了三次了。	她已经去了三次了。
少不了你的小说看。	有的是小说让你看个够。
把纸撕碎。	纸被撕碎。
留下了一点后遗症。	一点后遗症都没有。
他下楼了，在门口买了几个面包，塞在书包里，然后去了图书馆。	他下楼了，在门口买了几个面包，把面包塞在书包里，最后去了图书馆。
你忘了？	你不记得了？
他五次会议都没参加。	五次会议他都没参加。
这孩子不活泼。	这孩子有点内向。
再给你我拿瓶啤酒！	给你我再拿瓶啤酒！
他最常去那里。	那里他最常去。
咱俩谁跟谁呀。	咱们谁和谁啊。
如果是一个贪图财物享受的人，他就不会天天把自己关在书斋里做学问了。	如果是一个贪图财物享受的人，那么他不会天天把自己关在书斋里做学问了。
狗打死了。	把狗打死了。
顶这天儿我是来这儿打个招呼。	冒着这天气，我是来这儿打个招呼。
有一种爱叫放手。	放手是一种爱的表现。
他下午也许来不了。	也许他下午来不了。
她看花了眼睛。	看得她花了眼。
我冲着他笑了笑，然后继续唱歌。	我对着他笑了笑，然后继续唱歌。
这个学生我教过他数学。	我教过这个学生的数学。
他一句话没说。	一句话他都没说。
他这种常年闯荡江湖的人什么样的风浪没经历过。	常年闯荡江湖，他什么样的风浪都经历过了。
他们俩光谈学习问题。	他们俩的谈话内容仅限于学习问题。
我拿了汪老师一本书。	我拿走了一本书，是汪老师的。
他的数学不怎么好。	他不怎么擅长数学。
你要包子，油条，还是煎饼呢？	你要油条包子还是煎饼？
他喝穷了一家子。	一家子都被它喝穷了。
教室里跑出一群孩子。	一群孩子从教室里跑出来。
宁可血战到底，也不放弃每一寸阵地。	即使血战到底，也不放弃每一寸阵地。
他吃烤鸭吃胖了。	吃烤鸭把他吃胖了。
她把这批马调教的很好。	这批马被她调教的很好。
这封信写了我一个晚上。	我费了一个晚上来写这封信。
这孩子啊，竟然认不出他妈妈。	这孩子认不出他妈妈了。
不到黄河心不死。	一条道走到黑。
咱俩谁跟谁呀。	咱俩关系很好。
他付了我们100块钱。	我们收了他的100块钱。
我给了她一只笔。	他的一只笔是我给的。
她坚决不去，除非你陪她去。	只有你陪她去，她才去。
中国不首先使用核武器，不管是面临核威胁或者是面临核讹诈。	无论是面临核威胁还是面临核讹诈，中国总是不首先使用核武器。
不应该只看到个别动作像不像，而是要看舞蹈中表现的情感可能不可能存在。	不光要看到个别动作像不像，还要看舞蹈中表现的情感能否存在。
关山月，广东阳江人。	关山月是广东阳江人。
有我杨某在，你就别想翻天！	有我杨某在，你们就翻不了天！
伤心得她眼泪围着眼圈转。	她伤心得眼泪围着眼圈转。
这人一面对我言听计从，一面却又在背后搞小动作。	这人一边对我言听计从，一边却又在背后搞小动作。
他拿了我一本书。	我的一本书被他拿了。
那个小姑娘蓝眼睛。	那诗歌蓝眼睛的小姑娘。
我写好了信。	信我写好了。
新来的队友告诉我他也是从新疆建设兵团出来的。	新来的队友告诉我他也来自新疆建设兵团。
我刚从图书馆回来。	我从图书馆刚回来。
这道题做了我三个小时。	我做这道题做了三个小时。
我们老担心孩子身体。	我们经常担心孩子身体。
约翰给玛丽买了一件衣服。	这件衣服是约翰给玛丽买的。
小红帽没有被狼外婆吃掉。	狼外婆没有把小红帽吃掉。
他早就想赶我走了。	他早就想把我赶走了。
这事他不会不告诉我的。	他会告诉我这事的。
文化活动可以导致人们的行为趋同，就是说，人们的心里状态在文化的作用下呈现出一致性。	文化活动可以导致人们的行为趋同，就是说，在文化的作用下人们的心里状态呈现出一致性。
他明明知道下午有事。	他一定知道下午有事。
因为一点小矛盾，彼此就不再来往了。	因为一点小矛盾，因此彼此就不再来往了。
不管你说什么，他总是听不进去。	不管你说什么，他都听不进去。
他一边上学，一边打工挣学费。	他一边打工挣学费，一边上学。
她叠好了被子。	被子他叠好了。
他这个人就知道吃。	他就喜欢吃。
人人都看见她了。	没有人看不见她。
我呢，一天到晚就爱看书。	我从早到晚就爱看书。
不管你说什么，他总是听不进去。	任凭你说什么，他总是听不进去。
这辆车被水淹过。	水把这辆车淹过。
我一定把驾驶执照考下来，只要你给我时间。	你给我时间，我一定把驾驶执照考下来。
他不比你强多少。	他没比你强多少。
这位刘先生，他是个有钱人。	这位刘先生是个有钱人。
我们在哪些地方做的不对，或者不够令人满意？	我们在哪些地方做的不够令人满意，或者不对？
这张书桌没四尺长。	这张桌子长不到四尺。
这是他们吃饭的时候。	这时候他们吃饭。
一只青蛙从小池塘里跳出来。	小池塘里跳出来一只青蛙。
他不比你强多少。	你们两个差不多。
这下子把我们所有人都吓傻了，那个叫五哥的鼓手，甚至还当场哭出了声。	这下子把我们所有人都吓傻了，那个叫五哥的鼓手，当场哭出了声。
柱子让汽车给撞倒啦！	汽车把柱子撞倒啦！
只有做了广泛深入的调查研究，才可能得出让人们信服的结论。	除非做了广泛深入的调查研究，要不然不可能得出让人们信服的结论。
是留长发好，还是剪短了好啊？	留长发、剪短发，哪个好？
把东西放好。	放好东西。
美死了！	真漂亮！
学校里调来了一位女教师。	一位女教师被调到学校来了。
必须尽快改变现状，否则我真的没有出路了。	只有尽快改变现状，我才有出路。
有冤没处说。	有冤没地说。
她今天恐怕不会来了。	今天她可能不会来了。
她在每本书上都签了名字。	她的名字出现在每本书上。
他刚才暧昧地瞅了小红一眼。	刚才他暧昧地瞅了小红一眼。
台上坐着主席团。	主席团在台上坐着。
做个群众演员不但是未来做主角的必经之路，而且是在北京生存的打工方式之一。	做个群众演员不仅是未来做主角的必经之路，更是在北京生存的打工方式之一。
余德利抬头发现李东宝的目光很慌。	余德利抬头然后发现李东宝的目光很慌。
我一定把驾驶执照考下来，只要你给我时间。	只要你给我时间，我便一定把驾驶执照考下来。
不光大家伙都省事，你自己也可以少跑两趟嘛。	不仅大家伙都省事，而且你自己可以少跑两趟嘛。
这间房子将能容纳十个人。	这间房子将呆十个人。
我一定把驾驶执照考下来，只要你给我时间。	你给我时间，那么我一定把驾驶执照考下来。
今天比较冷。	今天有点冷。
这个国家的政府，一方面谴责美国对伊拉克的军事占领，另一方面又主动向美国控制下的伊拉克临时管理委员会示好。	这个国家的政府，一面谴责美国对伊拉克的军事占领，一面又向美国控制下的伊拉克临时管理委员会主动示好。
这个大男孩，宁可静静的坐着观察蚁群，也不愿去跟伙伴们爬树。	这个大男孩，宁肯静静的坐着观察蚁群，也不愿去跟伙伴们爬树。
冬天过去了，春天就会来到。	冬天过去了，春天就会来了。
尽管他赢得了冠军，可是没有赢得人们的尊重。	虽然他赢得了冠军，可是没有赢得人们的尊重。
每个符号对应一种意义，两个或几个符号的意义相同，或一个符号表示几种意义的情况不存在。	每个符号对应一种意义，也就是说，两个或几个符号的意义相同，或一个符号表示几种意义的情况不存在。
家家都买了汽车。	每家都买了汽车。
这个大男孩，宁可静静的坐着观察蚁群，也不愿去跟伙伴们爬树。	这个大男孩，不愿去跟伙伴们爬树，更愿静静的坐着观察蚁群。
你真的要放弃？	你确定要放弃？
这一次，投资者仅仅是“有望收回成本”，换句话说，很可能赔本！	这一次，投资者仅仅是“有望收回成本”，换句话说，赔本的可能性很大！
这叫你说着了。	真让你说对了。
通过宏观调控，既保持了经济快速发展的良好势头，又纠正了经济增长过程中的不健康因素。	宏观调控，第一，保持了经济快速发展的良好势头，第二，纠正了经济增长过程中的不健康因素。
必须尽快改变现状，否则我真的没有出路了。	除非尽快改变现状，否则我真的没有出路了。
咱俩谁跟谁呀。	咱俩关系不错呀。
一分钱他都不愿意多花。	他不愿意多花一分钱。
人人都看见了。	有没有谁看见了。
看的书都放在桌子上。	桌子上放的都是看的书。
杯子刚刚被他打破了。	他刚刚打破杯子了。
他被批评了一顿。	他被批评了一通。
风遇到防护林，速度就减少了百分之七十到八十。到了距离防护林等于林木高度二十米的地方，风速又恢复原来的强度。所以防护林必须是并行排列的许多林带，两列之间的距离不要超过林木高度的二十倍。	虽说风的速度遇到防护林就减少了百分之七十到八十，可是到了距离为林木高度二十倍的地方，风速又恢复原来的强度。因此防护林必须是并行排列的许多林带，两列之间的距离不要超过林木高度的二十倍。
钱包别给小偷偷了。	钱包别让小偷偷了。
他们家住了两个客人。	两个客人住在他们家。
准是瞎指挥，没个不出事儿。	肯定是瞎指挥，一定会出事儿。
老神仙给了人参娃娃一个宝葫芦。	一个宝葫芦被老神仙给了人参娃娃。
我跟她一样，是南方人。	她是南方人，我也是。
那幢楼高不了。	那幢楼不高。
这种鸡，既可以像饲养普通鸡那样进行笼养，也可以放养。	这种鸡，可以放养，也可以像饲养普通鸡那样笼养。
你什么时候也信起这一套了？	你啥时候也信这一套？
这瓶酒喝了我半个月的工资。	这瓶酒花了我半个月的工资。
任凭风吹浪打，都毫不动摇。	任凭风吹浪打，总是毫不动摇。
他不比你强多少。	你不比他差。
什么她都爱买。	她什么都爱买。
这次活动与其说是在培养孩子们吃苦精神，还不如说是给他们一次体验集体生活的机会。	这次活动培养了孩子们吃苦精神，更重要的是给了他们一次体验集体生活的机会。
毕业后，要么读研，要么出国留学。	毕业后，或者读研，或者出国留学。
办一件放心一件。	办好多少就放心多少。
非说不可。	肯定要说。
他的主意没个更改。	他更改了主意吗？没有！
兵兵回宿舍睡觉了。	兵兵回宿舍然后睡觉了。
我写信写了一个晚上。	我一个晚上都在写信。
我把桌子给爸爸整理好了。	我把爸爸的桌子给整理好了。
什么样的挫折她这个人都不大放在心上。	她这个人，什么样的挫折都不放在心上。
我觉得佳艳的德语水平远在我之上，虽然我的考试成绩比他高。	虽然我的德语考试成绩比佳艳高。但我觉得他的水平远在我之上。
詹先生虽然可以给她带来物质上的富足，却无法给她带来真正的幸福。	詹先生虽然可以给她带来物质上的富足，但是无法给她带来真正的幸福。
东西全给他吃光了。	东西全被他吃完了。
买来的面包将够数。	买回来的面包刚好。
教练细心观察、认真分析比赛现场发生的每一个细节。	教练细心观察比赛现场发生的每一个细节，并做了认真分析。
这样不仅可以帮助人家解一时的燃眉之急，还可以借机先锻炼一下自己。	这样可以帮助人家解一时的燃眉之急的同时还可以借机先锻炼一下自己。
冰箱里的东西全被吃干净了。	冰箱里的东西都被吃干净了。
饺子全让他吃光了。	他吃光了饺子。
他拿了王教授一本书。	王教授的一本书被他拿了。
我羊肉不吃，吃牛肉。	我不吃羊肉吃牛肉。
这个学生我教过他数学。	我给这个学生上过数学课。
还有没有商量的余地啊？	还能不能商量啊？
咱们开始吧！	咱们可以开始了吧！
我给了她一只笔。	我给她了一只笔。
她呀，做菜真好吃。	她做的菜真好吃。
不应该只看到个别动作像不像，而是要看舞蹈中表现的情感可能不可能存在。	是要看舞蹈中表现的情感可能不可能存在，而不应该只看到个别动作像不像。
你把衣服洗了吧。	你洗衣服吧。
她学了两个钟头英语。	她英语学了两个钟头。
在困难面前，或者当个懦弱的逃兵，或者做个勇猛的战士。	在困难面前，不是当个懦弱的逃兵，就是做个勇猛的战士。
有钱没处花。	有钱没地方花。
房子粉刷一新。	房子粉刷新了。
当官不为民做主，不如回家卖红薯。	假如当官不为民做主，还不如回家卖红薯。
他不但没有和大家一起撤离，相反却留下来参加了抢险队。	他不仅没有和大家一起撤离，相反却留下来参加了抢险队。
他们系走了一个老师。	他们系一个老师走了。
也没有个长远留下人的理。	没有一个让人长远留下来的理由。
只要她一去接电话，孩子就会大哭大闹。	一旦她去接电话，孩子便会大哭大闹。
真香。	很香。
我们班一半人住在三楼。	三楼，我们班的一半人住在那儿。
在北京我们游览了不少地方。	我们在北京游览了不少地方。
说了就忘。	说完就忘。
我深知老师的心理压力比我们还大。	我明白老师的心理压力比我们还大。
烦死了！	烦死人了！
再棘手的事情他都有办法解决。	再麻烦的事情他都有办法解决。
钱放在手里贬值太厉害，不如拿出去投资。	钱放在手里贬值太厉害，倒不如拿出去投资。
向前看。	朝前看。
他连一声也不吭。	一声他都没有吭。
我拿了汪老师一本书。	我拿了汪老师的一本书。
既然情况都了解清楚了，为什么却还要死抓住人家这些小问题不放呢？	既然情况都弄清楚了，为什么还要死抓住人家这些小问题不放呢？
这个没良心的。	没良心的。
再折腾也没用。	不论怎么折腾也没用。
少不了你的小说看。	有的是小说让你看。
他三个小时没学。	三个小时他都没学。
我做题做了三个小时。	我花了三个小时做题。
别人都走了，你怎么还不走？	别人都走了，你也走吧？
你应该协助我们完成这个项目。	这个项目你应该协助我们完成。
资金感到充足。	感觉资金充足。
他把衣服烧了一个洞。	衣服被他烧了一个洞。
有你的福享。	少不了你的福享。
她的认真感动了我们。	感动我们的是她的认真。
是谁在找我呀？	谁在找我呀？
桂花别提有多香。	桂花非常香。
少不了你的福享。	缺不了你的福享。
缺不了你的钱花。	不能缺你花的钱。
她的厨艺怎么样？	她的厨艺如何？
我才不干呢。	我不干。
屋里连一个人也没有。	没有一个人在屋里。
我给了她一只笔。	他送我一支笔。
这箱子轻不了。	这箱子不会轻。
这事听着都新鲜。	这事听着就新鲜。
无论遇到什么困难，我们都不能自乱阵脚。	任凭遇到什么困难，我们都不能自乱阵脚。
钱包别给小偷偷了。	别被小偷偷了钱包。
她离开广州已经好几年了。	好几年前她已经离开广州。
风遇到防护林，速度就减少了百分之七十到八十。到了距离防护林等于林木高度二十米的地方，风速又恢复原来的强度。所以防护林必须是并行排列的许多林带，两列之间的距离不要超过林木高度的二十倍。	虽说风的速度遇到防护林就减少了百分之七十到八十，然而到了距离为林木高度二十倍的地方，风速又恢复原来的强度。因此防护林必须是并行排列的许多林带，两列之间的距离不要超过林木高度的二十倍。
每次出差回来都给她带礼物，要不然就一定给你脸子看。	除非出差回来都给她带礼物，才不会给你脸子看。
这个公园逛了我们一个下午。	我们一个下午在这个公园逛。
今天是立夏吗？	今天立夏？
它所有的丫枝一律向上，而且紧紧靠拢，也像加过人工似的，成为一束，绝不旁逸斜出。	它的所有丫枝全是向上且紧紧靠拢的，像人加工过似的，成为一束，绝不旁逸斜出。
这样不仅可以帮助人家解一时的燃眉之急，还可以借机先锻炼一下自己。	这样不但可以帮助人家解一时的燃眉之急，还可以借机先锻炼一下自己。
这两个问题相同。	这两个问题一样。
我已经很久没有亲自开汽车啦。	我已经好久没有开汽车了。
总务处长邀请各年级学生代表就学校的伙食问题与管理部门进行对话。	总务处长邀请各年级学生代表与管理部门进行对话，讨论学校的伙食问题。
小吃摊儿旁边围着很多人。	很多人在小吃摊旁边围着。
你们什么时候结的婚？	你们什么时间结的婚？
这下子把我们所有人都吓傻了，那个叫五哥的鼓手，甚至还当场哭出了声。	这下子把我们所有人都吓傻了，更有甚者那个叫五哥的鼓手还当场哭出了声。
这道题做了我三个小时。	我用了三个小时做这道题。
年轻时我也漂亮过。	我年轻时也漂亮着。
哪儿去了，刚才？	刚才去什么地方了？
姐姐比我多吃了不少苦。	姐姐吃的苦比我多不少。
宁可血战到底，也不放弃每一寸阵地。	宁血战到底，也不放弃每一寸阵地。
我借给了小王两本小说。	我的两本书借给小王了。
地球绕着太阳公转，同时又绕着他自己的地轴不停的自转。	地球绕着太阳公转，同时也绕着他自己的地轴不停的自转。
小马现在悲痛地望着他。	现在小马悲痛地望着他。
他们系走了一个老师。	走了一个老师是他们系的。
他拒绝回答这个问题。	这个问题他拒绝回答。
她去市场买菜回来做饭吃。	做饭之前，她要先去市场买菜。
风遇到防护林，速度就减少了百分之七十到八十。到了距离防护林等于林木高度二十米的地方，风速又恢复原来的强度。所以防护林必须是并行排列的许多林带，两列之间的距离不要超过林木高度的二十倍。	遇到防护林，风的速度固然就减少了百分之七十到八十，然而到了距离为林木高度二十倍的地方，风速又恢复原来的强度。因此防护林必须是并行排列的许多林带，两列之间的距离不要超过林木高度的二十倍。
他是见过大世面的人。	他的见识比较广。
刮风的天气。	刮风天。
闹绯闻也成了名。	因闹绯闻而成名。
大家互相在纪念册上签名留念。	大家互相签名留念在纪念册上。
缺不了你的钱花。	少不了你的钱花。
他卖了我一只小狗。	他卖了一只小狗给我。
我写信写了一个晚上。	整个晚上我都在写信。
奶酪被老鼠咬了一个角。	老鼠咬了奶酪一个角。
做个群众演员不但是未来做主角的必经之路，而且是在北京生存的打工方式之一。	做个群众演员不光是未来做主角的必经之路，而且是在北京生存的打工方式之一。
我看电影看了八十块钱。	我花了八十块钱看电影。
怎么搬也搬不动。	搬不动。
他们昨天去了北京。	昨天他们去了北京。
风遇到防护林，速度就减少了百分之七十到八十。到了距离防护林等于林木高度二十米的地方，风速又恢复原来的强度。所以防护林必须是并行排列的许多林带，两列之间的距离不要超过林木高度的二十倍。	虽说风的速度遇到防护林就减少了百分之七十到八十，但是到了距离为林木高度二十倍的地方，风速又恢复原来的强度。因此防护林必须是并行排列的许多林带，两列之间的距离不要超过林木高度的二十倍。
还了他五十块钱。	把五十块钱还给他了。
他们见了个面。	他们见面了。
她看花了眼睛。	看花了她的眼。
地球绕着太阳公转，同时又绕着他自己的地轴不停的自转。	地球一边绕着太阳公转，一边绕着他自己的地轴不停的自转。
我把父母接来。	父母被我接来。
台上坐着主席团。	台上坐的是主席团。
东西全给吃光了。	吃光了所有东西。
这样不仅可以帮助人家解一时的燃眉之急，还可以借机先锻炼一下自己。	这样不光可以帮助人家解一时的燃眉之急，更可以借机先锻炼一下自己。
地球绕着太阳公转，同时又绕着他自己的地轴不停的自转。	地球一面绕着太阳公转，一面绕着他自己的地轴不停的自转。
丽丽哭红了眼睛。	丽丽的眼睛被丽丽哭红了。
新同学都办完了入学手续。	所有新同学的入学手续都办完了。
倘若来不及逃跑，它就会使出装死的伎俩。	假使来不及逃跑，它就会使出装死的伎俩。
我什么时候说你欠我了？	我没有说过你欠我的？
多损哪，这人！	这人太损了！
尽管他赢得了冠军，可是没有赢得人们的尊重。	尽管他赢得了冠军，但没有赢得人们的尊重。
它的干通常是丈把高，像加过人工似的，一丈以内绝无旁枝。	它的干一般一丈高，像人加工过似的，一丈以内绝无旁枝。
通过宏观调控，既保持了经济快速发展的良好势头，又纠正了经济增长过程中的不健康因素。	通过宏观调控，不仅保持了经济快速发展的良好势头，而且纠正了经济增长过程中的不健康因素。
别揣着明白装糊涂啦。	别再揣着明白装糊涂。
你扮演我们的交通员，让敌人抓住了。	你扮演我们的让敌人抓住了的交通员。
我国在这一方面的法律规定与贵国的法律规定相同。	我国的法律规定与贵国的法律规定在这一方面相同。
输了也高兴。	即使输了也高兴。
那个高个子肯定是乙班的，但是我想不起他叫什么名字了。	那个高个子肯定在是乙班，但是我想不起他叫什么名字了。
长痱子的小孩儿。	一个长了痱子的小孩。
你走你的阳关道，我走我的独木桥。	你走你的独木桥，我走我的阳关道。
年轻时我也漂亮过。	年轻时很漂亮的咩。
方法始终在变。	方法一直在变。
她学了两个钟头英语。	这两个钟头，她都在学英语。
衣服难看死了。	衣服真丑。
她用的护肤品和你一样高档。	你用的护肤品和她的一样高档。
首先于一九四零年十月间重开浈缅路，接着派了一些在敦刻尔克撤退下来的残兵败将来中国学习游击战。	第一步于一九四零年十月间重开浈缅路，第二步派了一些在敦刻尔克撤退下来的残兵败将来中国学习游击战。
用的放在桌子上，不用的放在一边。	有用的放在桌子上，没用的放到一边去。
他不看电影。	他不喜欢电影。
他喝穷了一家子。	他把一家子喝穷了。
这种树叶子很大。	这种树有很大的叶子。
咱俩谁跟谁呀。	咱俩谁跟谁呀。
总务处长邀请各年级学生代表就学校的伙食问题与管理部门进行对话。	各年级学生代表被总务处长邀请与管理部门进行对话，讨论学校的伙食问题。
因爱而恨。	因爱生恨。
他没犯一点错误。	一点错误他都没犯。
怎么搬也搬不动。	想尽办法都搬不动。
凡是玩的事儿，没他不参加的。	只要是玩，他都参加。
风遇到防护林，速度就减少了百分之七十到八十。到了距离防护林等于林木高度二十米的地方，风速又恢复原来的强度。所以防护林必须是并行排列的许多林带，两列之间的距离不要超过林木高度的二十倍。	风的速度遇到防护林就减少了百分之七十到八十。到了距离为林木高度二十倍的地方，风速又恢复原来的强度。于是防护林必须是并行排列的许多林带，两列之间的距离不要超过林木高度的二十倍。
别把愁事憋在心里。	愁事不能憋在心里。
我起码看过五遍。	我至少看过五遍。
资金感到不足。	感到资金不足。
做饭没有什么奥秘。	做饭没有奥秘。
咱俩谁跟谁呀。	我们是好朋友。
他偷了小王一辆自行车。	他把小王的一辆自行车给偷了。
不管你说什么，他总是听不进去。	无论你说什么，他还是听不进去。
他刚走了两个钟头你就回来了。	他刚走两个小时你就回来了。
我跟她一样，是南方人。	她是南方人，我也是南方人。
他们家跑了一条狗。	他们家少了一条狗。
那马猛然一惊，直立起来。	马被惊的直立起来。
最近，妈妈一直被失眠所困扰。	妈妈最近一直失眠。
广交会一年两次。	一年举行两次广交会。
是谁昨天用钳子把车修好的。	昨天谁用钳子把车修好了。
因为一点小矛盾，彼此就不再来往了。	因为一点小矛盾，因而彼此就不再来往了。
我去年到过泰国。	去年我去过泰国。
咱俩谁跟谁呀。	我两关系很好。
别揣着明白装糊涂啦。	不要明白还装糊涂啦。
我妈妈姓冯，我爸爸也姓冯。	我妈姓冯，我爸也姓冯。
姐姐昨天就把这消息告诉我了。	姐姐昨天就告诉了我这个消息。
老张家的房子厨房不大。	老张家的房子厨房很小。
下课后，大伙有的在踢毽子，有的在打乒乓球，还有的在跑步，都在积极的锻炼身体。	下课后，大伙有的在踢毽子，有的在跑步，还有的在打乒乓球，都在积极的锻炼身体。
你不是一个俗人。	你不是俗人。
我妈妈姓冯，我爸爸也姓冯。	我妈妈姓冯，我爸爸姓冯。
他教我们化学。	我们的化学由他来教。
他教我们化学。	我们的化学课由他上。
那今晚我请你去看电影好了，只是不知道你的女朋友会不会介意。	那今晚我请你去看电影好了，只是不清楚你的女朋友会不会介意。
我看了会电视，又听了会音乐，这才回房间睡觉。	我先看了会电视，然后听了会音乐，最后才回房间睡觉。
不到黄河心不死。	不撞南墙不回头。
老王嫁了他一个女儿。	老王把她一个女儿嫁了。
小马现在悲痛地望着他。	小马悲痛地望着他。
如果是一个贪图财物享受的人，他就不会天天把自己关在书斋里做学问了。	如果是一个贪图财物享受的人，他便不会天天把自己关在书斋里做学问了。
要那种西瓜，沙瓤的。	要那种沙瓤的西瓜！
缺不了你的钱花。	你有很多钱花。
我见了一共三个人。	我总共见了他们三个人。
中国不首先使用核武器，不管是面临核威胁或者是面临核讹诈。	不管是面临核威胁还是面临核讹诈，中国总是不首先使用核武器。
他这个人死要面子，哪里会认错。	他这个人死要面子，不会认错。
他问我会议什么时候结束。	他问我会议几点结束。
我刚来了一会儿。	我没来多久。
咱俩谁跟谁呀。	我俩谁跟谁呀。
这个大男孩，宁可静静的坐着观察蚁群，也不愿去跟伙伴们爬树。	这个大男孩，宁愿静静的坐着观察蚁群，也不愿去跟伙伴们爬树。
任凭风吹浪打，都毫不动摇。	无论风吹浪打，还是毫不动摇。
有你的钱花。	少不了你的钱花。
我习惯喝咖啡不放糖。	喝咖啡，我习惯不放糖。
我跟老李用绳子拉倒了那棵树。	我和老李用绳子拉倒了那棵树。
丽丽哭红了眼睛。	眼睛被丽丽哭红了。
必须尽快改变现状，否则我真的没有出路了。	必须尽快改变现状，要不然我真的没有出路了。
毕业后，要么读研，要么出国留学。	毕业后，不是读研，就是出国留学。
说实在的，我不喜欢那种款式的衣服。	说实在的，那种款式的衣服我不喜欢。
地球绕着太阳公转，同时又绕着他自己的地轴不停的自转。	地球既绕着太阳公转，同时又绕着他自己的地轴不停的自转。
海上升起一轮明月。	一轮明月从海上升起。
这本书我恰好看过。	刚好这本书我看过。
我看了会电视，又听了会音乐，这才回房间睡觉。	我先看电视，然后听音乐，最后才回房间睡觉。
今天比较冷。	今天有些冷。
唱了又唱。	不停地唱。
他把这批货卖掉了一大半。	这批货一大半都是他卖掉的。
缺不了你的钱花。	不能缺你的钱花。
静静地坐着。	安静地坐着。
咱们开始吧！	开始吧咱们！
一旦有机会，就要全力以赴。	只要有机会，便要全力以赴。
干一行爱一行。	干什么爱什么。
因为一点小矛盾，彼此就不再来往了。	由于一点小矛盾，彼此就不再来往了。
人家主动帮助你又什么不好？	人家主动帮助你有什么不好啊？
你果然准时到了。	果然你准时到了。
许多人宁愿花几百块钱去吃一顿饭，也不愿意花十几块钱买一本书。	许多人宁可花几百块钱去吃一顿饭，也不愿意花十几块钱买一本书。
雷锋精神不但没有过时，而且永远不会过时。	雷锋精神不但没有过时，永远也不会过时。
没喝一口茶。	一口茶没喝。
少不了你的小说看。	有小说让你看。
衣服难看死了。	衣服真难看。
这个问题讨论了我们半天。	我们讨论这个问题讨论了半天。
大师傅已经做好了可口的饭菜。	大师傅已经把可口的饭菜做好了。
得一个奖乐半天。	乐了半天因为得了奖。
这样不仅可以帮助人家解一时的燃眉之急，还可以借机先锻炼一下自己。	这样不光可以帮助人家解一时的燃眉之急，也可以借机先锻炼一下自己。
通过宏观调控，既保持了经济快速发展的良好势头，又纠正了经济增长过程中的不健康因素。	通过宏观调控，不但保持了经济快速发展的良好势头，而且纠正了经济增长过程中的不健康因素。
做个群众演员不但是未来做主角的必经之路，而且是在北京生存的打工方式之一。	做个群众演员不仅是未来做主角的必经之路，也是在北京生存的打工方式之一。
他叫汽车撞倒了。	他被汽车撞到了。
多损哪，这人！	太损了，这人！
饺子全让他吃光了。	饺子全叫他吃光了。
你去办公室打电话叫快餐店送十二份盒饭来。	你去办公室打电话让快餐店把十二份盒饭送来。
他逃脱不了法律的制裁，尽管他爸爸是李刚。	他无法逃脱法律的制裁，尽管他爸爸是李刚。
也弄个事儿管管。	也管管事。
右边堆着麦秆子。	麦秆子堆在右边。
人人都看见了。	怕是都被看见了哦。
真的，那个地方很漂亮。	那个地方真的很漂亮。
他最常去那里。	他经常去那里。
他已经通知了所有人。	所有人知道了他的通知。
轮番的轰炸后，这个美丽的小镇被夷为平地。	这个美丽的小镇被轮番的轰炸夷了为平地。
奇怪他今天怎么没有来？	奇怪今天他怎么没有来？
